Biotic group,Statistic,All MPAs,Strong,Weak,Fully,Highly,Lightly,Minimally,Incompatible,Unclassified
All,Median,-0.5,0.0,-0.5,0.0,0.0,-0.1,0.0,-0.2,0.0
All,Q2.5,-11.6,-0.4,-11.3,-0.1,-0.4,-3.5,-8.3,-8.6,-2.7
All,Q97.5,13.8,0.6,12.1,0.1,0.5,4.3,7.9,7.3,3.7
All,Min,-75.6,-5.4,-76.3,-1.9,-5.3,-33.1,-75.6,-38.0,-74.7
All,Max,95.6,56.4,95.6,38.1,56.4,45.7,82.9,95.9,48.9
Benthic invertebrates,Median,-0.7,0.0,-0.7,0.0,0.0,-0.1,0.0,-0.3,0.0
Benthic invertebrates,Q2.5,-11.0,-0.4,-11.4,-0.1,-0.4,-3.4,-8.2,-9.3,-1.9
Benthic invertebrates,Q97.5,11.7,0.6,10.4,0.1,0.5,4.0,7.0,6.8,2.9
Benthic invertebrates,Min,-61.6,-2.7,-44.1,-1.9,-2.4,-33.1,-36.3,-38.0,-37.2
Benthic invertebrates,Max,91.3,37.1,91.3,3.9,37.2,43.2,78.9,91.7,42.3
Pelagic invertebrates,Median,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0
Pelagic invertebrates,Q2.5,-11.1,-0.3,-9.0,0.0,-0.3,-3.5,-6.6,-4.8,-4.9
Pelagic invertebrates,Q97.5,18.7,0.4,18.5,0.0,0.4,5.9,10.9,6.3,6.3
Pelagic invertebrates,Min,-56.4,-1.3,-28.3,-0.4,-1.1,-16.3,-24.7,-29.6,-27.4
Pelagic invertebrates,Max,95.6,7.3,95.6,0.3,7.3,45.7,82.9,95.9,18.4
Demersal fish,Median,-0.4,0.0,-0.3,0.0,0.0,-0.1,-0.2,-0.1,0.0
Demersal fish,Q2.5,-15.8,-0.7,-11.5,-0.1,-0.6,-6.1,-11.1,-5.6,-6.0
Demersal fish,Q97.5,12.5,1.0,10.6,0.1,0.9,5.5,7.2,9.1,6.4
Demersal fish,Min,-66.7,-3.5,-48.9,-0.5,-3.6,-30.4,-28.7,-30.3,-74.7
Demersal fish,Max,74.5,37.0,52.9,38.1,6.4,27.4,43.0,21.7,45.1
Pelagic fish,Median,0.1,0.0,0.2,0.0,0.0,-0.1,0.0,0.0,-0.1
Pelagic fish,Q2.5,-22.7,-0.6,-17.3,-0.1,-0.5,-3.6,-15.1,-4.1,-7.6
Pelagic fish,Q97.5,14.6,1.0,12.2,0.1,1.0,3.6,8.9,6.0,4.3
Pelagic fish,Min,-75.6,-1.8,-76.3,-1.5,-1.8,-10.1,-75.6,-26.9,-24.1
Pelagic fish,Max,40.7,56.4,39.0,0.7,56.4,21.3,38.7,22.3,33.2
Elasmobranchs,Median,-0.9,0.0,-0.5,0.0,0.0,-0.1,-0.4,-0.3,-0.2
Elasmobranchs,Q2.5,-14.4,-0.6,-9.7,-0.1,-0.5,-5.8,-10.4,-8.4,-5.7
Elasmobranchs,Q97.5,17.7,0.4,15.8,0.1,0.5,7.6,11.4,5.3,3.6
Elasmobranchs,Min,-29.2,-1.5,-36.1,-0.4,-1.5,-13.3,-26.3,-14.6,-9.3
Elasmobranchs,Max,39.3,1.2,32.8,0.2,1.2,19.5,46.1,9.2,7.3
Mammals,Median,1.2,0.0,1.8,0.0,0.0,0.0,-0.3,1.4,-0.2
Mammals,Q2.5,-9.1,-0.3,-7.9,0.0,-0.3,-1.9,-6.3,-3.3,-3.9
Mammals,Q97.5,21.4,0.1,20.4,0.0,0.1,2.3,8.1,13.2,3.8
Mammals,Min,-9.9,-0.5,-10.7,-0.3,-0.4,-2.5,-13.8,-6.5,-4.0
Mammals,Max,25.8,0.8,21.4,0.2,0.6,3.2,14.6,18.9,12.3
Primary producers,Median,-0.4,0.0,-0.3,0.0,0.0,-0.2,0.0,-0.2,0.0
Primary producers,Q2.5,-10.7,-0.5,-10.1,-0.1,-0.5,-3.3,-6.3,-7.2,-2.0
Primary producers,Q97.5,16.9,0.4,15.1,0.1,0.4,3.5,8.7,8.4,3.2
Primary producers,Min,-37.1,-5.4,-37.4,-0.4,-5.3,-13.0,-25.4,-23.3,-24.3
Primary producers,Max,64.1,3.7,41.6,0.8,3.8,35.7,46.6,36.7,48.9
